Level of description,Identifier,Title,Date,Description,Location,Format,Rights,Contributor,Collection identifier,Collection title,Published online?,MulMultiMediaRefLocal_1,URL
Item,1979.0162.02188,Barron River,c. 1928,"Black and white photograph, Barron River, QLD, Australia. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/795","Barron River, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92673,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02188
Item,1979.0162.02189,Spring Bluff Main Range Toowoomba,October 1927,"Black and white photograph, view of waterfall, Spring Bluff, Toowoomba, QLD, Australia. Written on verso: 9am October 1927, circled. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/796","Spring Bluff, Toowoomba, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92674,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02189
Item,1979.0162.02190,View from top of Stoney Creek Cairns Railway North Queensland,15 September 1930,"Black and white photograph, view of railway in distance. Stoney Creek, Cairns, QLD, Australia. Written on verso: For Australian Today. Stamped on verso: Director Government Tourist Bureau, Brisbane. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933.  Previous Control Number: OSBA/797","Stoney Creek, Cairns, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92675,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02190
Item,1979.0162.02191,The Falls below Canyon Springbrook South Queensland,15 September 1930,"Black and white photograph, Springbrook South QLD, Australia. Stamped on verso: Director Government Tourist Bureau, Brisbane. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/798","Springbrook South QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92676,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02191
Item,1979.0162.02192,Head of the Barron Falls,1919,"Black and white photograph, Barron Falls, QLD, Australia. Written on verso: Alec 1919. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/799","Barron Falls, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92677,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02192
Item,1979.0162.02193,Tully River North Queensland,c. 1929-1933,"Man standing on an island in the middle of Tully river, Tully, QLD, Australia. Stamped on verso: Intelligence and Tourist Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/800","Tully river, Tully, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92678,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02193
Item,1979.0162.02194,Top of Stoney Creek Falls,c. 1930,"Black and white photograph, view of railway in distance, Stoney Creek, Cairns, QLD, Australia. Written in blue: 7, circled. Written in black: QS, 18. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/801","Stoney Creek, Cairns, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92679,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02194
Item,1979.0162.02195,Stoney Creek Falls & Bridge Cairns Railway North Queensland,c. 1930,"Black and white photograph, view of railway bridge in mountains. Stoney Creek, Cairns, QLD, Australia. Written in blue: 7, circled. Written in black: Q18. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/802","Stoney Creek, Cairns, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92680,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02195
Item,1979.0162.02196,Eureka Creek Stannary Hills North Queensland,c. 1921,"Black and white photograph, three men sitting/standing to the right of Eureka Creek, Stannary Hills, QLD, Australia. Written on verso: 6, circled. Queensland '21, underlined. Previous Control Number: OSBA/803","Eureka Creek, Stannary Hills, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92681,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02196
Item,1979.0162.02197,Waterfall Bunya Western Queensland,c. 1921,"Black and white photograph, Bunya, QLD, Australia. Written on verso: 6, circled. Queensland '21, underlined. Previous Control Number: OSBA/804","Bunya, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92682,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02197
Item,1979.0162.02198,Upper Millstream Falls North Queensland,c. 1921,"Black and white photograph, Millstream Falls, QLD, Australia. Written on verso: 6, circled. Queensland '21, underlined. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/805","Millstream Falls, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92683,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02198
Item,1979.0162.02199,"Railway station, Adelaide from Torrens Lake",6 July 1929,"Black and white photograph, Adelaide, SA, Australia. Photograph previously part of group titled, SA Scenic 1932 to 1937. Previous Control Number: OSBA/806","Torrens lake, Adelaide, SA, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92684,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02199
Item,1979.0162.02200,Cherry Blossom SA,31 August 1936,"Black and white photograph, two women talking among cherry trees in blossom.SA, Australia. Written on verso: SA Government photo. Photograph previously part of group titled, SA Scenic 1932 to 1937. Previous Control Number: OSBA/807","SA, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92685,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02200
Item,1979.0162.02201,Cherry Blossom SA,31 August 1936,"Black and white photograph, one woman standing behind a cherry tree branch in blossom, SA, Australia. Photograph previously part of group titled, SA Scenic 1932 to 1937. Previous Control Number: OSBA/808","SA, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92686,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02201
Item,1979.0162.02202,Western Australia Frankland River near Nornalup,3 September 1927,"Black and white photograph, one man standing at the bank of the river, one man sitting in a boat floating on the river, Nornalup, WA, Australia. Back of photograph: Written on verso: Tourist, underlined. WA Government above date stamp. Front of photograph: number 4 printed on bottom left hand corner. Photograph previously part of group titled, Outdoor scenes - 1927 to 1956 various states. Previous Control Number: OSBA/809","Nornalup, WA, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92687,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02202
Item,1979.0162.02203,"""A Peep into Eternity"" A projecting rock overhanging a drop appro x imately 2000 feet on Mount Pelion local in Tasmanian central highlands",16 July 1937,"Black and white photograph, man standing on top of the rock looking down. Mount Pelion, Tas, Australia. Stamped on verso: F. Smithies name and address. Smithies, 34 Paterson Street, Launceston, Tas. Photograph previously part of group titled, Outdoor scenes - 1927 to 1956 various states. Previous Control Number: OSBA/810","Mount Pelion, Tas, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92688,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02203
Item,1979.0162.02204,Twilight on the Nepean River,13 September 1933,"Nepean River, NSW, Australia. Written on verso: Scenic, underlined. Stamped on verso: This photograph may be reproduced or published free of charge on condition same is acknowledged to New South Wales Government Printer. Photograph previously part of group titled, Outdoor scenes - 1927 to 1956 various states. Previous Control Number: OSBA/811","Nepean River, NSW, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92689,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02204
Item,1979.0162.02205,Snowmobiles at the chalet,c. 1927-1956,"Two snowmobiles parked in the foreground, black dog and two skiers nearby. Chalet in the midground, two groups and nine total skiers nearby. Chairlift and hills in the background. NSW, Australia. Stamped on verso: This picture is issued by the Publicity Section of the New South Wales Department of Tourist Activities and Immigration and may be used for Display or Publication subject to the following credit-line appearing on or beneath the picture:- By courtesy New South Wales Government tourist Bureau. Written on verso: Petersen photo, bracketed. Petersen. Photograph previously part of group titled, Outdoor scenes - 1927 to 1956 various states. Previous Control Number: OSBA/812",,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92690,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02205
Item,1979.0162.02206,The main range from Mount Guthrie,c. 1927-1956,"Mount Guthrie, NSW, Australia. Stamped on verso: This picture is issued by the Publicity Section of the New South Wales Department of Tourist Activities and Immigration and may be used for Display or Publication subject to the following credit-line appearing on or beneath the picture:- By courtesy New South Wales Government tourist Bureau. Written on verso: Petersen photo, bracketed. Petersen.  Photograph Previously part of group titled, Outdoor scenes - 1927 to 1956 various states. Previous Control Number: OSBA/813","Mount Guthrie, NSW, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92691,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02206
Item,1979.0162.02207,"Bramms Bay and Purtaboi Island, from Dunk Island, North Queensland",3 August 1937,"Dunk Island, QLD, Australia. Written on verso: E83 Dunk Island Queensland. Stamped on verso: Photograph by Queensland Government Tourist Bureau Adelaide Street Brisbane Authority to reproduce must be obtained by application to Director. Photograph Previously part of group titled, Queensland Scenic 1932 to 1937. Previous Control Number: OSBA/814",Dunk Island Queensland,Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92692,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02207
Item,1979.0162.02208,"Moran's Creek, Lamington National Park, South Queensland",3 August 1937,"Black and white photograph, man standing on edge of creek. Moran's Creek, National Park, Lamington, QLD, Australia. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/815","Moran's Creek, National Park, Lamington, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92693,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02208
Item,1979.0162.02209,"Sydney Harbour Bridge, looking south",22 October 1935,"Black and white photograph, Sydney Harbour bridge,  NSW, Australia, perspective looking South over the water through the bridge. Stamped on verso: Hall and Company, Commercial and Portrait Photographers, 20 Hunter Street, Sydney. Telephone B2118. Written on verso: Non user, circled. Non, highlighted. Hall and Company. Photograph previously part of group titled, Outdoor scenes - 1927 to 1956 various states. Previous Control Number: OSBA/816","Sydney Harbour bridge,  NSW, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92694,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02209
Item,1979.0162.02211,Mount Wellington and portion of Hobart,24 August 1935,"Black and white photograph, view from ocean Pier of snow capped Mount Wellington above the city and bay.  Kings Pier on right, ferry in water on left. Cities, Ports, Recreation, Hobart, Tas, Australia. Written on verso: Tasmania, underlined. Stamped on verso: Beattie's Studios Hobart Tasmania. Creator: Beattie's Studios. Photograph previously part of group titled, Australia Today 1953-4: 1932-55.  Previous Control Number: OSBA/818","Mount Wellington, Tas, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,"Beattie, John Watt",1979.0162,Commercial Travellers' Association,Yes,92696,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02211
Item,1979.0162.02212,"Picture number 3. The port of Hobart, the deep waters of which accommodated the ""Queen Elizabeth"" during the war. Over 4,000,000 bushels of apples were shipped overseas last season.",c. 1932-1955,"Cities, Ports, Recreation, Hobart, Tas, Australia. Written on verso: Negative A26. Stamped on verso: Photograph Tasmanian Government Photograph Laboratory Hobart. Title typewritten on separate piece of paper and taped onto rear of photograph. Photograph previously part of  group titled, Australia Today 1953-4: 1932-55. Previous Control Number: OSBA/819","Hobart, Tas, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92697,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02212
Item,1979.0162.02213,"On Palmerston Highway, Innisfail District, North Queensland",3 August 1937,"Car facing photographer, turning around a bend on a dirt road. Innisfail, QLD, Australia. Photograph Previously part of group titled, Queensland Scenic 1932 to 1937. Previous Control Number: OSBA/820","Innisfail, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92698,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02213
Item,1979.0162.02214,Brisbane from Mount Coot-tha,3 August 1937,"Two benches, one person sitting on each bench. Shelter to the right of the benches, weight scale outside shelter. Brisbane view in the background. Mount Coot-tha, QLD, Australia. Written on verso: E50 The Lookout (City of Brisbane in Distance) Mount Coo-tha Queensland. Stamped on verso: Photograph by Queensland Government Tourist Bureau Adelaide Street Brisbane Authority to reproduce must be obtained by application to Director. Photograph Previously part of group titled, Queensland Scenic 1932 to 1937. Previous Control Number: OSBA/821","Mount Coot-tha, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92699,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02214
Item,1979.0162.02215,"Tropic jungle, Fairyland, Kuranda, North Queensland",3 August 1937,"Boy in bottom right hand corner of photograph. Kuranda, QLD, Australia. Written on verso: dimensions of photograph and cutoff points for publishment. NB Paint over child, double underlined. Stamped on verso: ""Australia today"", 2985. Tape residue on left edge on rear of the photograph. Photograph previously part of group titled, Queensland Scenic 1932 to 1937.   Previous Control Number: OSBA/822","Kuranda, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92700,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02215
Item,1979.0162.02216,"Mowbray, Mossman Valley near Cairns, North Queensland",3 August 1937,"Black and white photograph, railway bridge and road bride, car travelling away from photographer on road bridge. Mowbray, QLD, Australia. Photograph previously part of group titled, Queensland Scenic 1932 to 1937. Previous Control Number: OSBA/823","Mowbray, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92701,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02216
Item,1979.0162.02217,"Lake Eacham, Yungaburra, North Queensland",3 August 1937,"Black and white photograph, two people rowing a boat on lake, ""Motor Boat"" sign on wooded structure on left. Top of boat house visible in the bottom right hand corner. Lake Eacham, QLD, Australia. Photograph previously part of group titled, Queensland Scenic 1932 to 1937.  Previous Control Number: OSBA/824","Lake Eacham, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92702,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02217
